Categoria;Cidade;Pais;Customer Name;Data do Pedido;Código Nota Fiscal;Código Postal;Nome do Produto;Região;Segmento;Data de Envio;Tipo de Envio;Status do Envio;Estado;Subcategoria;Desconto %;Lucro;Quantidade;Valor da venda
Materiais de Escritório;Seattle;United States;Irene Maddox;05/12/2016;CA-2016-161389;98103;Fellowes PB200 Plastic Comb Binding Machine;Oeste;Pessoa Física;10/12/2016;Padrão;Enviado com antecedência;Washington;Binders;0,20;133;3;408
Materiais de Escritório;Fort Worth;United States;Harold Pawlan;22/11/2015;US-2015-118983;76106;Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;Central;Pequenas Empresas;26/11/2015;Padrão;Enviado com antecedência;Texas;Appliances;0,80;-124;5;69
Materiais de Escritório;Fort Worth;United States;Harold Pawlan;22/11/2015;US-2015-118983;76106;Storex DuraTech Recycled Plastic Frosted Binders;Central;Pequenas Empresas;26/11/2015;Padrão;Enviado com antecedência;Texas;Binders;0,80;-4;3;3
Materiais de Escritório;Madison;United States;Pete Kriz;11/11/2014;CA-2014-105893;53711;"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D";Central;Pessoa Física;18/11/2014;Padrão;Envio tardio;Wisconsin;Storage;0,00;13;6;666
Materiais de Escritório;West Jordan;United States;Alejandro Grove;13/05/2014;CA-2014-167164;84084;Fellowes Super Stor/Drawer;Oeste;Pessoa Física;15/05/2014;Correios;Enviado com antecedência;Utah;Storage;0,00;10;2;56
Materiais de Escritório;San Francisco;United States;Zuschuss Donatelli;27/08/2014;CA-2014-143336;94109;Newell 341;Oeste;Pessoa Física;01/09/2014;Correios;Envio tardio;California;Art;0,00;2;2;9
Tecnologia;San Francisco;United States;Zuschuss Donatelli;27/08/2014;CA-2014-143336;94109;Cisco SPA 501G IP Phone;Oeste;Pessoa Física;01/09/2014;Correios;Envio tardio;California;Phones;0,20;16;3;213
Materiais de Escritório;San Francisco;United States;Zuschuss Donatelli;27/08/2014;CA-2014-143336;94109;"Wilson Jones Hanging View Binder, White, 1""";Oeste;Pessoa Física;01/09/2014;Correios;Envio tardio;California;Binders;0,20;7;4;23
Materiais de Escritório;Fremont;United States;Ken Black;09/12/2016;CA-2016-137330;68025;Newell 318;Central;Corporativo;13/12/2016;Padrão;Enviado com antecedência;Nebraska;Art;0,00;5;7;19
Materiais de Escritório;Fremont;United States;Ken Black;09/12/2016;CA-2016-137330;68025;Acco Six-Outlet Power Strip, 4' Cord Length;Central;Corporativo;13/12/2016;Padrão;Enviado com antecedência;Nebraska;Appliances;0,00;16;7;60
Móveis;Philadelphia;United States;Sandra Flanagan;16/07/2017;US-2017-156909;19140;Global Deluxe Stacking Chair, Gray;Leste;Pessoa Física;18/07/2017;Correios;Enviado com antecedência;Pennsylvania;Chairs;0,30;-1;2;71
Móveis;Orem;United States;Emily Burns;25/09/2015;CA-2015-106320;84057;Bretford CR4500 Series Slim Rectangular Table;Oeste;Pessoa Física;30/09/2015;Padrão;Enviado com antecedência;Utah;Tables;0,00;240;3;1.045
Materiais de Escritório;Los Angeles;United States;Eric Hoffmann;16/01/2016;CA-2016-121755;90049;Wilson Jones Active Use Binders;Oeste;Pessoa Física;20/01/2016;Correios;Envio tardio;California;Binders;0,20;4;2;12
Tecnologia;Los Angeles;United States;Eric Hoffmann;16/01/2016;CA-2016-121755;90049;Imation 8GB Mini TravelDrive USB 2.0 Flash Drive;Oeste;Pessoa Física;20/01/2016;Correios;Envio tardio;California;Accessories;0,00;12;3;91
Móveis;Philadelphia;United States;Tracy Blumstein;17/09/2015;US-2015-150630;19140;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;Leste;Pessoa Física;21/09/2015;Padrão;Enviado com antecedência;Pennsylvania;Bookcases;0,50;-1.665;7;3.083
Materiais de Escritório;Philadelphia;United States;Tracy Blumstein;17/09/2015;US-2015-150630;19140;Avery Recycled Flexi-View Covers for Binding Systems;Leste;Pessoa Física;21/09/2015;Padrão;Enviado com antecedência;Pennsylvania;Binders;0,70;-7;2;10
Móveis;Philadelphia;United States;Tracy Blumstein;17/09/2015;US-2015-150630;19140;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";Leste;Pessoa Física;21/09/2015;Padrão;Enviado com antecedência;Pennsylvania;Furnishings;0,20;16;3;124
Materiais de Escritório;Philadelphia;United States;Tracy Blumstein;17/09/2015;US-2015-150630;19140;Poly String Tie Envelopes;Leste;Pessoa Física;21/09/2015;Padrão;Enviado com antecedência;Pennsylvania;Envelopes;0,20;1;2;3
Materiais de Escritório;Philadelphia;United States;Tracy Blumstein;17/09/2015;US-2015-150630;19140;BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain;Leste;Pessoa Física;21/09/2015;Padrão;Enviado com antecedência;Pennsylvania;Art;0,20;10;6;86
Materiais de Escritório;Philadelphia;United States;Tracy Blumstein;17/09/2015;US-2015-150630;19140;"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red";Leste;Pessoa Física;21/09/2015;Padrão;Enviado com antecedência;Pennsylvania;Binders;0,70;-6;6;7
Materiais de Escritório;Philadelphia;United States;Tracy Blumstein;17/09/2015;US-2015-150630;19140;Lumber Crayons;Leste;Pessoa Física;21/09/2015;Padrão;Enviado com antecedência;Pennsylvania;Art;0,20;4;2;16
Materiais de Escritório;Houston;United States;Matt Abelman;19/10/2017;CA-2017-107727;77095;Easy-staple paper;Central;Pequenas Empresas;23/10/2017;Correios;Envio tardio;Texas;Paper;0,20;10;3;29
Tecnologia;Richardson;United States;Gene Hale;08/12/2016;CA-2016-117590;75080;GE 30524EE4;Central;Corporativo;10/12/2016;Urgente;Envio tardio;Texas;Phones;0,20;123;7;1.098
Móveis;Richardson;United States;Gene Hale;08/12/2016;CA-2016-117590;75080;Electrix Architect's Clamp-On Swing Arm Lamp, Black;Central;Corporativo;10/12/2016;Urgente;Envio tardio;Texas;Furnishings;0,60;-148;5;191
Materiais de Escritório;Houston;United States;Steve Nguyen;27/12/2015;CA-2015-117415;77041;"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";Central;Pequenas Empresas;31/12/2015;Padrão;Enviado com antecedência;Texas;Envelopes;0,20;35;9;113
Móveis;Houston;United States;Steve Nguyen;27/12/2015;CA-2015-117415;77041;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;Central;Pequenas Empresas;31/12/2015;Padrão;Enviado com antecedência;Texas;Bookcases;0,32;-47;3;532
Móveis;Houston;United States;Steve Nguyen;27/12/2015;CA-2015-117415;77041;Global Fabric Manager's Chair, Dark Gray;Central;Pequenas Empresas;31/12/2015;Padrão;Enviado com antecedência;Texas;Chairs;0,30;-15;3;212
Tecnologia;Houston;United States;Steve Nguyen;27/12/2015;CA-2015-117415;77041;Plantronics HL10 Handset Lifter;Central;Pequenas Empresas;31/12/2015;Padrão;Enviado com antecedência;Texas;Phones;0,20;42;4;371
Tecnologia;Naperville;United States;Linda Cazamias;10/09/2017;CA-2017-120999;60540;Panasonic Kx-TS550;Central;Corporativo;15/09/2017;Padrão;Enviado com antecedência;Illinois;Phones;0,20;17;4;147
Materiais de Escritório;Los Angeles;United States;Ruben Ausman;17/07/2016;CA-2016-101343;90049;Eldon Base for stackable storage shelf, platinum;Oeste;Corporativo;22/07/2016;Padrão;Enviado com antecedência;California;Storage;0,00;4;2;78
Materiais de Escritório;Melbourne;United States;Erin Smith;19/09/2017;CA-2017-139619;32935;Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers;Sul;Corporativo;23/09/2017;Padrão;Enviado com antecedência;Florida;Storage;0,20;10;2;96
Tecnologia;Eagan;United States;Odella Nelson;11/03/2016;CA-2016-118255;55122;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack;Central;Corporativo;13/03/2016;Urgente;Envio tardio;Minnesota;Accessories;0,00;20;2;46
Materiais de Escritório;Eagan;United States;Odella Nelson;11/03/2016;CA-2016-118255;55122;Wilson Jones Leather-Like Binders with DublLock Round Rings;Central;Corporativo;13/03/2016;Urgente;Envio tardio;Minnesota;Binders;0,00;8;2;17
Materiais de Escritório;Westland;United States;Patrick O'Donnell;20/10/2014;CA-2014-146703;48185;Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black;Central;Pessoa Física;25/10/2014;Correios;Envio tardio;Michigan;Storage;0,00;8;4;212
Tecnologia;Dover;United States;Lena Hernandez;20/06/2016;CA-2016-169194;19901;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;Leste;Pessoa Física;25/06/2016;Padrão;Enviado com antecedência;Delaware;Accessories;0,00;5;3;45
Tecnologia;Dover;United States;Lena Hernandez;20/06/2016;CA-2016-169194;19901;LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite;Leste;Pessoa Física;25/06/2016;Padrão;Enviado com antecedência;Delaware;Phones;0,00;6;2;22
Materiais de Escritório;New Albany;United States;Darren Powers;18/04/2015;CA-2015-115742;47150;C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack;Central;Pessoa Física;22/04/2015;Padrão;Enviado com antecedência;Indiana;Binders;0,00;18;6;38
Materiais de Escritório;New Albany;United States;Darren Powers;18/04/2015;CA-2015-115742;47150;Avery 485;Central;Pessoa Física;22/04/2015;Padrão;Enviado com antecedência;Indiana;Labels;0,00;35;6;75
Móveis;New Albany;United States;Darren Powers;18/04/2015;CA-2015-115742;47150;Longer-Life Soft White Bulbs;Central;Pessoa Física;22/04/2015;Padrão;Enviado com antecedência;Indiana;Furnishings;0,00;3;2;6
Móveis;New Albany;United States;Darren Powers;18/04/2015;CA-2015-115742;47150;Global Leather Task Chair, Black;Central;Pessoa Física;22/04/2015;Padrão;Enviado com antecedência;Indiana;Chairs;0,00;17;1;90
Materiais de Escritório;New York City;United States;Janet Molinari;11/12/2016;CA-2016-105816;10024;Advantus Push Pins;Leste;Corporativo;17/12/2016;Padrão;Enviado no dia;New York;Fasteners;0,00;6;7;15
Tecnologia;New York City;United States;Janet Molinari;11/12/2016;CA-2016-105816;10024;AT&T CL83451 4-Handset Telephone;Leste;Corporativo;17/12/2016;Padrão;Enviado no dia;New York;Phones;0,00;299;5;1.030
Materiais de Escritório;Troy;United States;Ted Butterfield;17/06/2016;CA-2016-111682;12180;Home/Office Personal File Carts;Leste;Pessoa Física;18/06/2016;Urgente;Enviado no dia;New York;Storage;0,00;52;6;209
Materiais de Escritório;Troy;United States;Ted Butterfield;17/06/2016;CA-2016-111682;12180;Xerox 232;Leste;Pessoa Física;18/06/2016;Urgente;Enviado no dia;New York;Paper;0,00;16;5;32
Móveis;Troy;United States;Ted Butterfield;17/06/2016;CA-2016-111682;12180;Novimex Turbo Task Chair;Leste;Pessoa Física;18/06/2016;Urgente;Enviado no dia;New York;Chairs;0,10;7;5;319
Materiais de Escritório;Troy;United States;Ted Butterfield;17/06/2016;CA-2016-111682;12180;Array Parchment Paper, Assorted Colors;Leste;Pessoa Física;18/06/2016;Urgente;Enviado no dia;New York;Paper;0,00;7;2;15
Tecnologia;Troy;United States;Ted Butterfield;17/06/2016;CA-2016-111682;12180;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;Leste;Pessoa Física;18/06/2016;Urgente;Enviado no dia;New York;Accessories;0,00;3;2;30
Materiais de Escritório;Troy;United States;Ted Butterfield;17/06/2016;CA-2016-111682;12180;Plastic Binding Combs;Leste;Pessoa Física;18/06/2016;Urgente;Enviado no dia;New York;Binders;0,20;16;4;48
Materiais de Escritório;Troy;United States;Ted Butterfield;17/06/2016;CA-2016-111682;12180;Prang Dustless Chalk Sticks;Leste;Pessoa Física;18/06/2016;Urgente;Enviado no dia;New York;Art;0,00;1;1;2
Tecnologia;Los Angeles;United States;Kunst Miller;24/11/2015;CA-2015-135545;90004;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack;Oeste;Pessoa Física;30/11/2015;Padrão;Enviado no dia;California;Accessories;0,00;6;2;14
Materiais de Escritório;Los Angeles;United States;Kunst Miller;24/11/2015;CA-2015-135545;90004;"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""";Oeste;Pessoa Física;30/11/2015;Padrão;Enviado no dia;California;Binders;0,20;9;6;26
Materiais de Escritório;Los Angeles;United States;Kunst Miller;24/11/2015;CA-2015-135545;90004;Xerox 1943;Oeste;Pessoa Física;30/11/2015;Padrão;Enviado no dia;California;Paper;0,00;69;3;147
Móveis;Los Angeles;United States;Kunst Miller;24/11/2015;CA-2015-135545;90004;Luxo Economy Swing Arm Lamp;Oeste;Pessoa Física;30/11/2015;Padrão;Enviado no dia;California;Furnishings;0,00;22;4;80
Móveis;Chicago;United States;Paul Stevenson;30/04/2015;US-2015-164175;60610;Global Value Mid-Back Manager's Chair, Gray;Central;Pequenas Empresas;05/05/2015;Padrão;Enviado com antecedência;Illinois;Chairs;0,30;-15;5;213
Materiais de Escritório;Gilbert;United States;Brendan Sweed;05/12/2014;CA-2014-106376;85234;Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige;Oeste;Corporativo;10/12/2014;Padrão;Enviado com antecedência;Arizona;Art;0,20;111;8;1.113
Tecnologia;Gilbert;United States;Brendan Sweed;05/12/2014;CA-2014-106376;85234;netTALK DUO VoIP Telephone Service;Oeste;Corporativo;10/12/2014;Padrão;Enviado com antecedência;Arizona;Phones;0,20;63;4;168
Materiais de Escritório;Springfield;United States;Karen Daniels;04/06/2016;CA-2016-119823;22153;Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate;Sul;Pessoa Física;06/06/2016;Urgente;Envio tardio;Virginia;Paper;0,00;36;2;76
Materiais de Escritório;New York City;United States;Henry MacAllister;18/09/2016;CA-2016-106075;10009;Avery Binding System Hidden Tab Executive Style Index Sets;Leste;Pessoa Física;23/09/2016;Padrão;Enviado com antecedência;New York;Binders;0,20;2;1;5
Materiais de Escritório;Jackson;United States;Tracy Blumstein;14/09/2017;CA-2017-114440;49201;"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""";Central;Pessoa Física;17/09/2017;Correios;Enviado no dia;Michigan;Paper;0,00;9;3;19
Móveis;Memphis;United States;Joel Eaton;26/04/2015;US-2015-134026;38109;High-Back Leather Manager's Chair;Sul;Pessoa Física;02/05/2015;Padrão;Enviado no dia;Tennessee;Chairs;0,20;-114;8;832
Móveis;Memphis;United States;Joel Eaton;26/04/2015;US-2015-134026;38109;"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""";Sul;Pessoa Física;02/05/2015;Padrão;Enviado no dia;Tennessee;Furnishings;0,20;1;2;97
Materiais de Escritório;Memphis;United States;Joel Eaton;26/04/2015;US-2015-134026;38109;Safco Industrial Wire Shelving System;Sul;Pessoa Física;02/05/2015;Padrão;Enviado no dia;Tennessee;Storage;0,20;-18;1;73
Materiais de Escritório;Houston;United States;Ken Brennan;09/12/2017;US-2017-118038;77041;Economy Binders;Central;Corporativo;11/12/2017;Urgente;Envio tardio;Texas;Binders;0,80;-2;3;1
Móveis;Houston;United States;Ken Brennan;09/12/2017;US-2017-118038;77041;"6"" Cubicle Wall Clock, Black";Central;Corporativo;11/12/2017;Urgente;Envio tardio;Texas;Furnishings;0,60;-6;3;10
Materiais de Escritório;Houston;United States;Ken Brennan;09/12/2017;US-2017-118038;77041;SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h;Central;Corporativo;11/12/2017;Urgente;Envio tardio;Texas;Storage;0,20;3;3;27
Móveis;Houston;United States;Joel Eaton;26/11/2014;US-2014-147606;77070;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;Central;Pessoa Física;01/12/2014;Correios;Envio tardio;Texas;Furnishings;0,60;-14;5;19
Materiais de Escritório;Decatur;United States;Stewart Carmichael;12/06/2016;CA-2016-127208;35601;"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";Sul;Corporativo;15/06/2016;Urgente;Envio tardio;Alabama;Appliances;0,00;56;1;208
Materiais de Escritório;Decatur;United States;Stewart Carmichael;12/06/2016;CA-2016-127208;35601;Avery Heavy-Duty EZD  Binder With Locking Rings;Sul;Corporativo;15/06/2016;Urgente;Envio tardio;Alabama;Binders;0,00;8;3;17
Materiais de Escritório;San Francisco;United States;Duane Noonan;12/10/2014;CA-2014-139451;94122;Premium Writing Pencils, Soft, #2 by Central Association for the Blind;Oeste;Pessoa Física;16/10/2014;Padrão;Enviado com antecedência;California;Art;0,00;4;5;15
Materiais de Escritório;San Francisco;United States;Duane Noonan;12/10/2014;CA-2014-139451;94122;Sortfiler Multipurpose Personal File Organizer, Black;Oeste;Pessoa Física;16/10/2014;Padrão;Enviado com antecedência;California;Storage;0,00;6;1;21
Materiais de Escritório;Durham;United States;Julie Creighton;03/09/2015;CA-2015-149734;27707;Jet-Pak Recycled Peel 'N' Seal Padded Mailers;Sul;Corporativo;08/09/2015;Padrão;Enviado com antecedência;North Carolina;Envelopes;0,20;63;7;201
Materiais de Escritório;Chicago;United States;Christopher Schild;13/11/2017;US-2017-119662;60623;Safco Industrial Wire Shelving;Central;Pequenas Empresas;16/11/2017;Urgente;Envio tardio;Illinois;Storage;0,20;-49;3;230
Móveis;Columbia;United States;Patrick O'Donnell;28/05/2017;CA-2017-140088;29203;Novimex Swivel Fabric Task Chair;Sul;Pessoa Física;30/05/2017;Correios;Enviado com antecedência;South Carolina;Chairs;0,00;33;2;302
Tecnologia;Rochester;United States;Paul Gonzalez;26/10/2017;CA-2017-155558;55901;Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired;Central;Pessoa Física;02/11/2017;Padrão;Envio tardio;Minnesota;Accessories;0,00;7;1;20
Materiais de Escritório;Rochester;United States;Paul Gonzalez;26/10/2017;CA-2017-155558;55901;Avery 511;Central;Pessoa Física;02/11/2017;Padrão;Envio tardio;Minnesota;Labels;0,00;3;2;6
Materiais de Escritório;Houston;United States;Gary Mitchum;05/04/2016;CA-2016-159695;77095;Eldon Portable Mobile Manager;Central;Pequenas Empresas;10/04/2016;Correios;Envio tardio;Texas;Storage;0,20;14;7;158
Materiais de Escritório;Los Angeles;United States;Jim Sink;17/09/2016;CA-2016-109806;90036;Turquoise Lead Holder with Pocket Clip;Oeste;Corporativo;22/09/2016;Padrão;Enviado com antecedência;California;Art;0,00;7;3;20
Tecnologia;Los Angeles;United States;Jim Sink;17/09/2016;CA-2016-109806;90036;Panasonic Kx-TS550;Oeste;Corporativo;22/09/2016;Padrão;Enviado com antecedência;California;Phones;0,20;8;2;74
Materiais de Escritório;Los Angeles;United States;Jim Sink;17/09/2016;CA-2016-109806;90036;Xerox 1995;Oeste;Corporativo;22/09/2016;Padrão;Enviado com antecedência;California;Paper;0,00;3;1;6
Materiais de Escritório;Minneapolis;United States;Karl Braun;31/01/2015;CA-2015-149587;55407;Xerox 1999;Central;Pessoa Física;05/02/2015;Correios;Envio tardio;Minnesota;Paper;0,00;6;2;13
Móveis;Minneapolis;United States;Karl Braun;31/01/2015;CA-2015-149587;55407;"Seth Thomas 13 1/2"" Wall Clock";Central;Pessoa Física;05/02/2015;Correios;Envio tardio;Minnesota;Furnishings;0,00;17;3;53
Materiais de Escritório;Minneapolis;United States;Karl Braun;31/01/2015;CA-2015-149587;55407;Ibico Standard Transparent Covers;Central;Pessoa Física;05/02/2015;Correios;Envio tardio;Minnesota;Binders;0,00;16;2;33
Materiais de Escritório;Portland;United States;Roger Barcio;06/11/2017;US-2017-109484;97206;Flexible Leather- Look Classic Collection Ring Binder;Oeste;Pequenas Empresas;12/11/2017;Padrão;Enviado no dia;Oregon;Binders;0,70;-4;1;6
Móveis;New York City;United States;Parhena Norris;09/11/2017;CA-2017-161018;10009;9-3/4 Diameter Round Wall Clock;Leste;Pequenas Empresas;11/11/2017;Correios;Enviado com antecedência;New York;Furnishings;0,00;41;7;97
Materiais de Escritório;San Francisco;United States;Katherine Ducich;17/06/2017;CA-2017-157833;94122;Trimflex Flexible Post Binders;Oeste;Pessoa Física;20/06/2017;Urgente;Envio tardio;California;Binders;0,20;18;3;51
Materiais de Escritório;Saint Paul;United States;Elpida Rittenbach;06/09/2016;CA-2016-149223;55106;Fellowes Basic Home/Office Series Surge Protectors;Central;Corporativo;11/09/2016;Padrão;Enviado com antecedência;Minnesota;Appliances;0,00;23;6;78
Materiais de Escritório;Chicago;United States;Rick Bensley;29/08/2016;CA-2016-158568;60610;Avery Personal Creations Heavyweight Cards;Central;Pequenas Empresas;02/09/2016;Padrão;Enviado com antecedência;Illinois;Paper;0,20;23;7;65
Tecnologia;Chicago;United States;Rick Bensley;29/08/2016;CA-2016-158568;60610;SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card;Central;Pequenas Empresas;02/09/2016;Padrão;Enviado com antecedência;Illinois;Accessories;0,20;-11;3;96
Materiais de Escritório;Chicago;United States;Rick Bensley;29/08/2016;CA-2016-158568;60610;Avery Hidden Tab Dividers for Binding Systems;Central;Pequenas Empresas;02/09/2016;Padrão;Enviado com antecedência;Illinois;Binders;0,80;-3;3;2
Materiais de Escritório;Rochester;United States;Gary Zandusky;01/12/2016;CA-2016-129903;55901;Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright);Central;Pessoa Física;04/12/2016;Correios;Enviado no dia;Minnesota;Paper;0,00;12;4;24
Tecnologia;Aurora;United States;Lena Cacioppo;13/11/2015;US-2015-156867;80013;Logitech K350 2.4Ghz Wireless Keyboard;Oeste;Pessoa Física;17/11/2015;Padrão;Enviado com antecedência;Colorado;Accessories;0,20;-27;6;239
Móveis;Aurora;United States;Lena Cacioppo;13/11/2015;US-2015-156867;80013;Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting;Oeste;Pessoa Física;17/11/2015;Padrão;Enviado com antecedência;Colorado;Furnishings;0,20;-4;3;102
Materiais de Escritório;Aurora;United States;Lena Cacioppo;13/11/2015;US-2015-156867;80013;"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets";Oeste;Pessoa Física;17/11/2015;Padrão;Enviado com antecedência;Colorado;Binders;0,70;-26;3;37
Tecnologia;Charlotte;United States;Janet Martin;23/11/2017;CA-2017-119004;28205;Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive;Sul;Pessoa Física;28/11/2017;Padrão;Enviado com antecedência;North Carolina;Accessories;0,20;18;8;74
Tecnologia;Charlotte;United States;Janet Martin;23/11/2017;CA-2017-119004;28205;Speck Products Candyshell Flip Case;Sul;Pessoa Física;28/11/2017;Padrão;Enviado com antecedência;North Carolina;Phones;0,20;2;1;28
Materiais de Escritório;Charlotte;United States;Janet Martin;23/11/2017;CA-2017-119004;28205;Newell Chalk Holder;Sul;Pessoa Física;28/11/2017;Padrão;Enviado com antecedência;North Carolina;Art;0,20;1;1;3
Tecnologia;Orland Park;United States;Pete Armstrong;15/10/2015;CA-2015-129476;60462;Logitech Gaming G510s - Keyboard;Central;Pequenas Empresas;20/10/2015;Padrão;Enviado com antecedência;Illinois;Accessories;0,20;68;5;340
Móveis;New York City;United States;Cynthia Voltz;25/12/2017;CA-2017-146780;10035;Magnifier Swing Arm Lamp;Leste;Corporativo;30/12/2017;Padrão;Enviado com antecedência;New York;Furnishings;0,00;11;2;42
Materiais de Escritório;Urbandale;United States;Clay Ludtke;03/11/2016;CA-2016-128867;50322;Hunt PowerHouse Electric Pencil Sharpener, Blue;Central;Pessoa Física;10/11/2016;Padrão;Envio tardio;Iowa;Art;0,00;23;2;76
Materiais de Escritório;Urbandale;United States;Clay Ludtke;03/11/2016;CA-2016-128867;50322;"Avery Durable Plastic 1"" Binders";Central;Pessoa Física;10/11/2016;Padrão;Envio tardio;Iowa;Binders;0,00;13;6;27
Materiais de Escritório;Columbus;United States;Ryan Crowe;25/08/2014;CA-2014-115259;43229;OIC Colored Binder Clips, Assorted Sizes;Leste;Pessoa Física;27/08/2014;Correios;Enviado com antecedência;Ohio;Fasteners;0,20;15;14;40
Materiais de Escritório;Columbus;United States;Ryan Crowe;25/08/2014;CA-2014-115259;43229;Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2;Leste;Pessoa Física;27/08/2014;Correios;Enviado com antecedência;Ohio;Envelopes;0,20;2;2;5
